File_name,Plate_in_file,row_A_antigen,row_B_antigen ,row_C_antigen,row_D_antigen,row_E_antigen,row_F_antigen,row_G_antigen,row_H_antigen,row_A_sample ,row_B_sample,row_C_sample ,row_D_sample,row_E_sample ,row_F_sample,row_G_sample ,row_H_sample,format
AC-02-26-2021-SET5-L165-TO-L188-pairs-plate.txt,2,p24-standard,CMV,HSV-1,HSV-2,p24-standard,CMV,HSV-1,HSV-2,BB-POS,L167,L167,L167,BB-POS,L168,L168,L168,twosamples-threeantigens-3rep
AC-02-26-2021-SET5-L165-TO-L188-pairs-plate.txt,3,p24-standard,CMV,HSV-1,HSV-2,p24-standard,CMV,HSV-1,HSV-2,BB-POS,L169,L169,L169,BB-POS,L170,L170,L170,twosamples-threeantigens-3rep
AC-02-26-2021-SET5-L165-TO-L188-pairs-plate.txt,4,p24-standard,CMV,HSV-1,HSV-2,p24-standard,CMV,HSV-1,HSV-2,BB-POS,L171,L171,L171,BB-POS,L172,L172,L172,twosamples-threeantigens-3rep
AC-02-26-2021-SET5-L165-TO-L188-pairs-plate.txt,5,p24-standard,CMV,HSV-1,HSV-2,p24-standard,CMV,HSV-1,HSV-2,BB-POS,L173,L173,L173,BB-POS,L174,L174,L174,twosamples-threeantigens-3rep
AC-02-26-2021-SET5-L165-TO-L188-pairs-plate.txt,6,p24-standard,CMV,HSV-1,HSV-2,p24-standard,CMV,HSV-1,HSV-2,BB-POS,L175,L175,L175,BB-POS,L176,L176,L176,twosamples-threeantigens-3rep
AC-02-26-2021-SET5-L165-TO-L188-pairs-plate.txt,7,p24-standard,CMV,HSV-1,HSV-2,p24-standard,CMV,HSV-1,HSV-2,BB-POS,L177,L177,L177,BB-POS,L178,L178,L178,twosamples-threeantigens-3rep
AC-02-26-2021-SET5-L165-TO-L188-pairs-plate.txt,8,p24-standard,CMV,HSV-1,HSV-2,p24-standard,CMV,HSV-1,HSV-2,BB-POS,L179,L179,L179,BB-POS,L180,L180,L180,twosamples-threeantigens-3rep
AC-02-26-2021-SET5-L165-TO-L188-pairs-plate.txt,9,p24-standard,CMV,HSV-1,HSV-2,p24-standard,CMV,HSV-1,HSV-2,BB-POS,L181,L181,L181,BB-POS,L182,L182,L182,twosamples-threeantigens-3rep
AC-02-26-2021-SET5-L165-TO-L188-pairs-plate.txt,10,p24-standard,CMV,HSV-1,HSV-2,p24-standard,CMV,HSV-1,HSV-2,BB-POS,L183,L183,L183,BB-POS,L184,L184,L184,twosamples-threeantigens-3rep
AC-02-26-2021-SET5-L165-TO-L188-pairs-plate.txt,11,p24-standard,CMV,HSV-1,HSV-2,p24-standard,CMV,HSV-1,HSV-2,BB-POS,L185,L185,L185,BB-POS,L186,L186,L186,twosamples-threeantigens-3rep
AC-02-26-2021-SET5-L165-TO-L188-pairs-plate.txt,12,p24-standard,CMV,HSV-1,HSV-2,p24-standard,CMV,HSV-1,HSV-2,BB-POS,L187,L187,L187,BB-POS,L188,L188,L188,twosamples-threeantigens-3rep
